iter	Passed	Remaining
352	3454	6332
353	3488	6366
354	3534	6422
355	3551	6425
356	3595	6475
357	3605	6466
358	3650	6517
359	3657	6502
360	3666	6489
361	3673	6473
362	3685	6467
363	3693	6453
364	3699	6436
365	3706	6421
366	3715	6407
367	3721	6390
368	3728	6376
369	3735	6360
370	3742	6344
371	3748	6327
372	3755	6312
373	3761	6296
374	3767	6279
375	3774	6264
376	3780	6248
377	3786	6231
378	3794	6217
379	3800	6200
380	3807	6185
381	3814	6171
382	3822	6158
383	3828	6141
384	3834	6125
385	3841	6111
386	3848	6095
387	3855	6081
388	3861	6065
389	3867	6049
390	3874	6035
391	3880	6019
392	3887	6005
393	3893	5989
394	3899	5973
395	3907	5959
396	3913	5943
397	3922	5933
398	3929	5918
399	3936	5904
400	3942	5889
401	3951	5878
402	3959	5865
403	3965	5849
404	3972	5835
405	3978	5820
406	3985	5807
407	3992	5792
408	3999	5779
409	4006	5765
410	4012	5750
411	4020	5737
